school,longitude,latitude
University of Colorado at Boulder,105.2659,40.0076
Colorado State University at Fort Collins,105.0865,40.5734
University of Colorado at Denver,104.9926,39.7431
Metropolitan State College of Denver,105.0055,39.7435
Colorado Technical University Online,104.8343,38.8941
Front Range Community College,105.0372,39.9014
Pikes Peak Community College,104.7862,38.7646
University of Northern Colorado,104.7004,40.4027
University of Denver,104.9619,39.6766
University of Colorado at Colorado Springs,104.8049,38.8965
